Epoch,1
Training data : ,loss,1.1008526662190756,accuracy,0.34308333333333335
Val data : ,loss,1.1000548833211263,accuracy,0.341
test data : ,loss,1.3483578567504884,accuracy,0.3923333333333333
Epoch,2
Training data : ,loss,1.0999046154022216,accuracy,0.3575833333333333
Val data : ,loss,1.099588254292806,accuracy,0.357
test data : ,loss,1.437829116821289,accuracy,0.39066666666666666
Epoch,3
Training data : ,loss,1.0994222615559897,accuracy,0.36425
Val data : ,loss,1.099957878112793,accuracy,0.3473333333333333
test data : ,loss,1.3296416320800781,accuracy,0.475
Epoch,4
Training data : ,loss,1.0988720773061116,accuracy,0.36683333333333334
Val data : ,loss,1.099492472330729,accuracy,0.36533333333333334
test data : ,loss,1.0889535051981607,accuracy,0.5383333333333333
Epoch,5
Training data : ,loss,1.098164872487386,accuracy,0.3739166666666667
Val data : ,loss,1.0994772313435872,accuracy,0.36133333333333334
test data : ,loss,1.1761343040466308,accuracy,0.49033333333333334
Epoch,6
Training data : ,loss,1.0975040906270346,accuracy,0.38083333333333336
Val data : ,loss,1.0999124069213868,accuracy,0.3566666666666667
test data : ,loss,1.134159548441569,accuracy,0.5083333333333333
Epoch,7
Training data : ,loss,1.096951955795288,accuracy,0.3874166666666667
Val data : ,loss,1.0998553924560548,accuracy,0.35
test data : ,loss,1.1280450096130372,accuracy,0.529
Epoch,8
Training data : ,loss,1.096671043395996,accuracy,0.38458333333333333
Val data : ,loss,1.09957511138916,accuracy,0.35
test data : ,loss,1.152258160909017,accuracy,0.5206666666666667
Epoch,9
Training data : ,loss,1.0963588752746583,accuracy,0.38866666666666666
Val data : ,loss,1.0994670181274413,accuracy,0.361
test data : ,loss,1.0896009076436362,accuracy,0.5413333333333333
Epoch,10
Training data : ,loss,1.096311082204183,accuracy,0.3879166666666667
Val data : ,loss,1.0998119405110678,accuracy,0.35933333333333334
test data : ,loss,1.0821282183329264,accuracy,0.5423333333333333
Epoch,11
Training data : ,loss,1.0959858538309732,accuracy,0.39575
Val data : ,loss,1.0996909942626953,accuracy,0.356
test data : ,loss,1.0922885602315267,accuracy,0.541
Epoch,12
Training data : ,loss,1.0959446334838867,accuracy,0.395
Val data : ,loss,1.09979603322347,accuracy,0.356
test data : ,loss,1.0842781079610189,accuracy,0.5356666666666666
Epoch,13
Training data : ,loss,1.095948257446289,accuracy,0.39775
Val data : ,loss,1.099643564860026,accuracy,0.3626666666666667
test data : ,loss,1.080490426381429,accuracy,0.538
Epoch,14
Training data : ,loss,1.095741465250651,accuracy,0.39675
Val data : ,loss,1.0997432327270509,accuracy,0.3526666666666667
test data : ,loss,1.10709428024292,accuracy,0.5273333333333333
Epoch,15
Training data : ,loss,1.0958042939503987,accuracy,0.39666666666666667
Val data : ,loss,1.0997619018554687,accuracy,0.3596666666666667
test data : ,loss,1.1040002187093099,accuracy,0.5356666666666666
Epoch,16
Training data : ,loss,1.095720453898112,accuracy,0.3949166666666667
Val data : ,loss,1.0996786295572916,accuracy,0.3566666666666667
test data : ,loss,1.1229099464416503,accuracy,0.5373333333333333
Epoch,17
Training data : ,loss,1.0955477383931478,accuracy,0.396
Val data : ,loss,1.0997560119628906,accuracy,0.36033333333333334
test data : ,loss,1.0933808670043945,accuracy,0.5313333333333333
Epoch,18
Training data : ,loss,1.0957299143473307,accuracy,0.39866666666666667
Val data : ,loss,1.0997746200561525,accuracy,0.35833333333333334
test data : ,loss,1.0950307350158692,accuracy,0.532
Epoch,19
Training data : ,loss,1.0955355580647785,accuracy,0.40008333333333335
Val data : ,loss,1.1000074564615885,accuracy,0.3566666666666667
test data : ,loss,1.0851273803710937,accuracy,0.5386666666666666
Epoch,20
Training data : ,loss,1.0956884543100993,accuracy,0.3983333333333333
Val data : ,loss,1.0996793416341146,accuracy,0.364
test data : ,loss,1.1025369618733725,accuracy,0.5346666666666666
Epoch,21
Training data : ,loss,1.0957237497965495,accuracy,0.39625
Val data : ,loss,1.0997156194051108,accuracy,0.359
test data : ,loss,1.0819505488077799,accuracy,0.539
Epoch,22
Training data : ,loss,1.0955795192718505,accuracy,0.39375
Val data : ,loss,1.0997995936075846,accuracy,0.36
test data : ,loss,1.0860603726704916,accuracy,0.5416666666666666
Epoch,23
Training data : ,loss,1.0957181568145753,accuracy,0.398
Val data : ,loss,1.0996399281819662,accuracy,0.3546666666666667
test data : ,loss,1.0791711451212564,accuracy,0.5446666666666666
Epoch,24
Training data : ,loss,1.095776746749878,accuracy,0.39866666666666667
Val data : ,loss,1.0998817977905273,accuracy,0.356
test data : ,loss,1.105426528930664,accuracy,0.5333333333333333
Epoch,25
Training data : ,loss,1.0957158317565918,accuracy,0.39408333333333334
Val data : ,loss,1.0997306594848633,accuracy,0.35533333333333333
test data : ,loss,1.112532009124756,accuracy,0.534
Epoch,26
Training data : ,loss,1.0956165835062663,accuracy,0.3929166666666667
Val data : ,loss,1.0996975275675456,accuracy,0.361
test data : ,loss,1.0683429222106933,accuracy,0.5423333333333333
Epoch,27
Training data : ,loss,1.095472536087036,accuracy,0.3985
Val data : ,loss,1.0996503117879233,accuracy,0.36333333333333334
test data : ,loss,1.0819189999898275,accuracy,0.537
Epoch,28
Training data : ,loss,1.0957017529805502,accuracy,0.39975
Val data : ,loss,1.0998464228312175,accuracy,0.36
test data : ,loss,1.0721977399190268,accuracy,0.5433333333333333
Epoch,29
Training data : ,loss,1.0956345450083416,accuracy,0.39608333333333334
Val data : ,loss,1.0997389653523764,accuracy,0.361
test data : ,loss,1.0898495852152505,accuracy,0.531
Epoch,30
